id,routing_id/id,name,workcenter_id/id
mrp_routing_workcenter_1,mrp_routing_env,Offset : Calage 1:0,mrp_workcenter_24
mrp_routing_workcenter_2,mrp_routing_env,Offset : Calage 2:0,mrp_workcenter_25
mrp_routing_workcenter_3,mrp_routing_env,Offset : Calage 4:0,mrp_workcenter_26
mrp_routing_workcenter_4,mrp_routing_env,Offset : Roulage,mrp_workcenter_29
mrp_routing_workcenter_5,mrp_routing_env,Offset : Roulage grand format,mrp_workcenter_30
mrp_routing_workcenter_6,mrp_routing_env,Offset : Sortie plaque,mrp_workcenter_31
mrp_routing_workcenter_102,mrp_routing_imp,Editique : Data : Préparation simple,mrp_workcenter_2
mrp_routing_workcenter_103,mrp_routing_imp,Editique : Data : Préparation complexe,mrp_workcenter_1
mrp_routing_workcenter_7,mrp_routing_imp,Numérique : Fusion simple,mrp_workcenter_12
mrp_routing_workcenter_8,mrp_routing_imp,Numérique : Fusion paramétrée,mrp_workcenter_11
mrp_routing_workcenter_9,mrp_routing_imp,Numérique : Sorties n:0 SRA3 <135g,mrp_workcenter_21
mrp_routing_workcenter_10,mrp_routing_imp,Numérique : Sorties n:0 SRA3 <176g,mrp_workcenter_22
mrp_routing_workcenter_11,mrp_routing_imp,Numérique : Sorties n:0 SRA3 <300g,mrp_workcenter_23
mrp_routing_workcenter_12,mrp_routing_imp,Numérique : Perforation,mrp_workcenter_14
mrp_routing_workcenter_13,mrp_routing_imp,Numérique : Rainage,mrp_workcenter_16
mrp_routing_workcenter_14,mrp_routing_imp,Routage : Pliage A4,mrp_workcenter_54
mrp_routing_workcenter_15,mrp_routing_imp,Routage : Pliage A4 lourd,mrp_workcenter_55
mrp_routing_workcenter_16,mrp_routing_imp,Routage : Pliage SRA3,mrp_workcenter_56
mrp_routing_workcenter_17,mrp_routing_imp,Routage : Pliage SRA3 lourd,mrp_workcenter_57
mrp_routing_workcenter_18,mrp_routing_imp,Numérique : Coupe,mrp_workcenter_10
mrp_routing_workcenter_19,mrp_routing_jet,Offset : Jet d'encre petite image,mrp_workcenter_28
mrp_routing_workcenter_20,mrp_routing_doc,Editique : Data : Préparation simple,mrp_workcenter_2
mrp_routing_workcenter_21,mrp_routing_doc,Editique : Data : Préparation complexe,mrp_workcenter_1
mrp_routing_workcenter_22,mrp_routing_email,Editique : Email : Mise en page,mrp_workcenter_3
mrp_routing_workcenter_23,mrp_routing_email,Editique : Email : Test de campagne,mrp_workcenter_4
mrp_routing_workcenter_24,mrp_routing_email,Editique : MO,mrp_workcenter_5
mrp_routing_workcenter_25,mrp_routing_prepa,Editique : Data : Préparation simple,mrp_workcenter_2
mrp_routing_workcenter_26,mrp_routing_prepa,Editique : Data : Préparation complexe,mrp_workcenter_1
mrp_routing_workcenter_27,mrp_routing_prepa,Editique : MO,mrp_workcenter_5
mrp_routing_workcenter_28,mrp_routing_doc,Numérique : Fusion simple,mrp_workcenter_12
mrp_routing_workcenter_29,mrp_routing_pap,Offset : Sortie plaque,mrp_workcenter_31
mrp_routing_workcenter_30,mrp_routing_pap,Offset : Calage 1:0,mrp_workcenter_24
mrp_routing_workcenter_31,mrp_routing_doc,Numérique : Fusion paramétrée,mrp_workcenter_11
mrp_routing_workcenter_32,mrp_routing_pap,Offset : Calage 2:0,mrp_workcenter_25
mrp_routing_workcenter_33,mrp_routing_pap,Offset : Calage 4:0,mrp_workcenter_26
mrp_routing_workcenter_34,mrp_routing_doc,Numérique : Sorties n:0 A4 <135g,mrp_workcenter_18
mrp_routing_workcenter_35,mrp_routing_pap,Offset : Roulage grand format,mrp_workcenter_30
mrp_routing_workcenter_36,mrp_routing_pap,Numérique : Coupe,mrp_workcenter_10
mrp_routing_workcenter_37,mrp_routing_doc,Numérique : Sorties n:0 A4 <176g,mrp_workcenter_19
mrp_routing_workcenter_38,mrp_routing_jet,Offset : Jet d'encre grande image,mrp_workcenter_27
mrp_routing_workcenter_39,mrp_routing_doc,Numérique : Sorties n:0 A4 <300g,mrp_workcenter_23
mrp_routing_workcenter_40,mrp_routing_doc,Numérique : Sorties n:0 SRA3 <135g,mrp_workcenter_18
mrp_routing_workcenter_41,mrp_routing_doc,Numérique : Sorties n:0 SRA3 <176g,mrp_workcenter_19
